中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,764 Mbps,97894 kB/s,97894.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,399 Mbps,51097 kB/s,51097.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,370 Mbps,47411 kB/s,47411.0
35.230.79.26,443,35.212.176.58,US,Seattle,隧道,72 ms,357 Mbps,45772 kB/s,45772.0
35.197.23.75,443,35.212.176.58,US,Seattle,隧道,68 ms,337 Mbps,43212 kB/s,43212.0
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,317 Mbps,40652 kB/s,40652.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,314 Mbps,40243 kB/s,40243.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,69 ms,291 Mbps,37273 kB/s,37273.0
143.47.176.251,443,2606:f240:f00:b2ed:0:ad70:1b03:d9b3,US,Frankfurt,隧道,95 ms,286 Mbps,36659 kB/s,36659.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,273 Mbps,35020 kB/s,35020.0
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,68 ms,270 Mbps,34611 kB/s,34611.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,259 Mbps,33177 kB/s,33177.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,218 Mbps,27955 kB/s,27955.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,124 Mbps,15974 kB/s,15974.0
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,202 ms,77 Mbps,9977 kB/s,9977.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,233 ms,55 Mbps,7042 kB/s,7042.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,49 Mbps,6378 kB/s,6378.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,48 Mbps,6199 kB/s,6199.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,176 ms,44 Mbps,5709 kB/s,5709.0
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,165 ms,42 Mbps,5430 kB/s,5430.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,173 ms,42 Mbps,5382 kB/s,5382.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,177 ms,41 Mbps,5346 kB/s,5346.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,34 Mbps,4462 kB/s,4462.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,210 ms,31 Mbps,4095 kB/s,4095.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,241 ms,27 Mbps,3557 kB/s,3557.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,7 Mbps,938 kB/s,938.0
