中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.197.23.75,443,35.212.173.150,US,Seattle,隧道,25 ms,952 Mbps,121856 kB/s,121856.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,936 Mbps,119808 kB/s,119808.0
35.230.79.26,443,35.212.173.150,US,Seattle,隧道,24 ms,920 Mbps,117760 kB/s,117760.0
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,21 ms,888 Mbps,113664 kB/s,113664.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,2 ms,672 Mbps,86118 kB/s,86118.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,648 Mbps,82944 kB/s,82944.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,68 ms,320 Mbps,41062 kB/s,41062.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,30 ms,311 Mbps,39833 kB/s,39833.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,117 ms,244 Mbps,31334 kB/s,31334.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,194 Mbps,24883 kB/s,24883.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,155 Mbps,19865 kB/s,19865.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,171 ms,133 Mbps,17100 kB/s,17100.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,115 Mbps,14745 kB/s,14745.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,171 ms,100 Mbps,12800 kB/s,12800.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,169 ms,48 Mbps,6151 kB/s,6151.0
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,190 ms,47 Mbps,6107 kB/s,6107.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,77 ms,45 Mbps,5850 kB/s,5850.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,161 ms,44 Mbps,5749 kB/s,5749.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,159 ms,43 Mbps,5611 kB/s,5611.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,159 ms,43 Mbps,5545 kB/s,5545.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,114 ms,43 Mbps,5506 kB/s,5506.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,133 ms,40 Mbps,5222 kB/s,5222.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,141 ms,39 Mbps,5081 kB/s,5081.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,39 Mbps,5065 kB/s,5065.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,172 ms,34 Mbps,4399 kB/s,4399.0
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,156 ms,15 Mbps,1974 kB/s,1974.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,71 ms,5 Mbps,752 kB/s,752.0
