中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,745 Mbps,95436 kB/s,95436.0
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,53 ms,517 Mbps,66252 kB/s,66252.0
35.230.79.26,443,35.212.237.223,US,Seattle,隧道,52 ms,499 Mbps,63897 kB/s,63897.0
35.197.23.75,443,35.212.237.223,US,Seattle,隧道,51 ms,499 Mbps,63897 kB/s,63897.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,56 ms,459 Mbps,58777 kB/s,58777.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,410 Mbps,52531 kB/s,52531.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,406 Mbps,52019 kB/s,52019.0
192.9.236.144,443,192.9.236.144,US,San Jose,中转,54 ms,328 Mbps,42086 kB/s,42086.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,320 Mbps,40960 kB/s,40960.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,48 ms,273 Mbps,35020 kB/s,35020.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,216 Mbps,27648 kB/s,27648.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,113 ms,190 Mbps,24371 kB/s,24371.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,168 Mbps,21504 kB/s,21504.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,155 ms,168 Mbps,21504 kB/s,21504.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,155 ms,134 Mbps,17203 kB/s,17203.0
8.219.201.245,443,47.245.114.12,SG,Singapore,隧道,207 ms,67 Mbps,8661 kB/s,8661.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,154 ms,48 Mbps,6268 kB/s,6268.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,121 ms,45 Mbps,5851 kB/s,5851.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,44 Mbps,5756 kB/s,5756.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,179 ms,42 Mbps,5486 kB/s,5486.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,157 ms,41 Mbps,5362 kB/s,5362.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,234 ms,41 Mbps,5250 kB/s,5250.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,20 ms,7 Mbps,982 kB/s,982.0
